feature,importance
pnn50,0.1919126240262239
cv,0.1507064204351783
sd2,0.10243480829640325
rr_skewness,0.08090553840540692
sdnn,0.07946051222507428
rr_range,0.06693611017907458
rmssd,0.0600730005448728
sd1,0.04658418954944251
sample_entropy,0.046568697554502964
mean_rr,0.03210837792522943
mean_hr,0.031918769623005036
turning_point_ratio,0.02836633603707191
qrs_width,0.019336202271609943
spectral_entropy,0.014538553732140979
rr_kurtosis,0.012471197863842903
p_wave_absence,0.011821487206101176
t_wave_ratio,0.009658699400167977
approx_entropy,0.006941375580584379
dominant_freq,0.006650285538382161
sd1_sd2_ratio,0.0006068136056847362
